"id";"time_stamp";"person";"bicycle";"car";"motorcycle";"bus";"truck";"cat";"dog"
349;"2021-07-21 08:30:00";38;0;50;0;4;7;0;0
350;"2021-07-21 08:45:00";12;2;56;1;1;0;0;0
351;"2021-07-21 10:00:00";7;0;11;0;1;0;0;0
352;"2021-07-21 10:15:00";11;0;36;1;0;1;0;0
353;"2021-07-21 10:30:00";12;0;84;1;0;3;0;0
354;"2021-07-21 10:45:00";8;0;79;2;1;4;0;0
355;"2021-07-21 11:00:00";10;0;90;0;1;1;0;0
356;"2021-07-21 11:15:00";6;0;71;0;1;3;0;1
357;"2021-07-21 11:29:59";30;10;64;3;0;5;0;0
358;"2021-07-21 11:45:00";7;0;70;1;0;5;0;0
359;"2021-07-21 12:00:00";8;0;51;1;2;5;0;0
360;"2021-07-21 12:15:00";10;0;55;0;1;3;0;0
361;"2021-07-21 12:30:00";10;0;55;1;0;3;0;0
362;"2021-07-21 12:45:00";7;1;41;0;0;0;0;0
363;"2021-07-21 13:00:00";21;0;50;0;1;3;0;0
364;"2021-07-21 13:15:00";16;0;60;1;0;2;0;0
365;"2021-07-21 13:30:00";11;1;59;0;0;2;0;0
366;"2021-07-21 13:45:00";24;0;52;0;0;2;0;0
367;"2021-07-21 13:59:59";23;1;73;0;2;3;0;0
368;"2021-07-21 14:15:00";8;0;51;1;0;0;0;0
369;"2021-07-21 14:30:00";7;0;56;0;0;2;0;0
370;"2021-07-21 14:45:00";14;0;62;0;5;0;0;0
371;"2021-07-21 15:00:00";17;0;59;0;1;2;0;0
372;"2021-07-21 15:15:00";22;0;73;0;1;2;0;0
373;"2021-07-21 15:30:00";21;0;63;0;2;18;0;0
374;"2021-07-21 15:45:00";15;1;63;3;2;3;0;0
375;"2021-07-21 16:00:00";10;0;65;1;0;3;0;0
376;"2021-07-21 16:15:00";9;1;81;0;1;2;0;0
377;"2021-07-21 16:30:00";19;1;74;0;1;4;0;0
378;"2021-07-21 16:44:59";4;0;66;0;0;0;0;0
379;"2021-07-21 17:00:00";15;0;73;0;0;1;0;0
380;"2021-07-21 17:15:00";18;5;88;2;0;2;0;0
381;"2021-07-21 17:30:00";9;1;56;0;0;0;0;0
382;"2021-07-21 17:45:00";4;0;43;0;0;3;0;0
383;"2021-07-21 18:00:00";15;1;36;0;0;1;0;0
384;"2021-07-21 18:14:59";13;0;34;0;0;0;0;0
385;"2021-07-21 18:30:00";12;0;28;0;0;0;0;0
386;"2021-07-21 18:45:00";11;1;24;1;0;0;0;0
387;"2021-07-21 19:00:00";11;0;34;1;0;0;0;0
388;"2021-07-21 19:15:00";4;1;32;0;0;0;0;0
389;"2021-07-21 19:30:00";3;2;20;1;0;0;0;0
390;"2021-07-21 19:45:00";8;0;16;0;0;0;0;0
391;"2021-07-21 20:00:00";6;0;25;1;0;0;0;0
392;"2021-07-21 20:15:00";4;0;20;2;0;0;0;0
393;"2021-07-21 20:29:59";14;0;18;0;0;0;0;0
394;"2021-07-21 20:45:00";3;0;14;0;0;0;0;0
395;"2021-07-21 20:59:59";88;0;2;0;0;0;0;0
396;"2021-07-21 21:15:00";1;0;2;0;0;0;0;0
397;"2021-07-22 06:15:00";2;0;9;0;1;0;0;0
398;"2021-07-22 06:30:00";6;0;24;0;0;0;0;0
399;"2021-07-22 06:45:00";6;0;37;1;0;0;0;0
400;"2021-07-22 07:00:00";5;0;60;0;1;0;0;0
401;"2021-07-22 07:15:00";5;0;70;1;0;0;0;0
402;"2021-07-22 07:29:59";5;0;76;0;1;0;0;0
403;"2021-07-22 07:44:59";13;0;80;0;0;2;0;0
404;"2021-07-22 08:00:00";9;2;73;0;1;0;0;0
405;"2021-07-22 08:15:00";22;0;54;0;1;7;0;0
406;"2021-07-22 08:29:59";9;0;61;1;1;5;0;0
407;"2021-07-22 08:44:59";12;0;50;0;0;3;0;0
408;"2021-07-22 09:00:00";3;0;64;0;0;2;0;0
409;"2021-07-22 09:15:00";15;1;45;1;0;4;0;0
410;"2021-07-22 09:29:59";8;0;52;0;0;6;0;0
411;"2021-07-22 09:44:59";7;0;43;0;0;5;0;0
412;"2021-07-22 10:00:00";5;1;52;0;0;4;0;0
413;"2021-07-22 10:14:59";14;0;57;0;0;3;0;0
414;"2021-07-22 10:30:00";11;1;50;0;0;3;0;0
415;"2021-07-22 10:45:00";9;0;45;0;1;6;0;0
416;"2021-07-22 11:00:00";23;0;58;1;0;4;0;0
417;"2021-07-22 11:15:00";12;1;52;2;0;0;0;0
418;"2021-07-22 11:30:00";11;0;42;1;2;1;0;0
419;"2021-07-22 11:45:00";7;0;48;0;0;4;0;0
420;"2021-07-22 12:00:00";4;0;60;0;0;2;0;0
421;"2021-07-22 12:15:00";13;0;38;0;1;3;0;0
422;"2021-07-22 12:30:00";12;2;41;1;0;2;0;0
423;"2021-07-22 12:45:00";9;0;49;1;0;1;0;0
424;"2021-07-22 13:00:00";294;0;44;0;0;5;0;0
425;"2021-07-22 13:15:00";21;0;50;0;0;2;0;0
426;"2021-07-22 13:30:00";14;0;50;0;0;2;0;0
427;"2021-07-22 13:45:00";20;0;47;0;0;2;0;0
428;"2021-07-22 14:00:00";11;0;46;0;0;3;0;0
429;"2021-07-22 14:15:00";26;0;56;0;0;4;0;0
430;"2021-07-22 14:30:00";22;0;62;0;0;2;0;0
431;"2021-07-22 14:45:00";19;0;75;1;0;5;0;0
